Timestamp, Focus, Enjoyment, Zone
1643578978945,57.988327,43.412403,53.615547
1643578979175,58.030895,43.149048,53.56634
1643578979432,58.15439,42.96505,53.597588
1643578979687,58.27465,42.78825,53.62873
1643578979932,58.393677,42.615017,53.66008
1643578980182,58.436317,42.399452,53.62526
1643578980434,58.5063,42.227684,53.622715
1643578980688,58.539124,42.06728,53.597572
1643578980933,58.561783,41.942513,53.576004
1643578981152,58.341072,41.873615,53.400833
1643578981401,58.138313,41.812084,53.240444
1643578981655,57.93431,41.749554,53.078884
1643578981916,57.86557,41.732727,53.025715
1643578982149,57.795876,41.71881,52.972755
1643578982398,57.763096,41.77533,52.966766
1643578982653,57.72931,41.831593,52.95999
1643578982908,57.705097,42.012882,52.997433
1643578983132,57.68102,42.196957,53.0358
1643578983387,57.654987,42.378956,53.072178
1643578983650,57.729996,42.6747,53.213406
1643578983912,57.804485,42.971138,53.35448
1643578984152,57.915615,43.224327,53.508232
1643578984400,58.02563,43.477596,53.661224
1643578984654,58.14644,43.761616,53.830994
1643578984909,58.26662,44.043446,53.99967
1643578985146,58.387177,44.316654,54.16602
1643578985398,58.507607,44.58934,54.332123
1643578985652,58.628323,44.860462,54.497963
1643578985908,58.58254,44.73943,54.429607
1643578986147,58.536884,44.615936,54.3606
1643578986393,58.49028,44.457016,54.2803
1643578986647,58.44382,44.2968,54.199715
1643578986903,58.387478,44.061527,54.089695
1643578987141,58.331146,43.825283,53.97939
1643578987391,58.28472,43.617313,53.8845
1643578987653,58.274952,43.387424,53.808693
1643578987916,58.263535,43.15836,53.731983
1643578988161,58.284954,42.984043,53.694683
1643578988398,58.306454,42.810806,53.65776
1643578988646,58.2935,42.59666,53.58445
1643578988901,58.280533,42.381237,53.510742
1643578989148,58.288128,42.155987,53.448486
1643578989397,58.296497,41.93393,53.387726
1643578989654,58.302925,41.706387,53.323963
1643578989913,58.354153,41.470165,53.28896
1643578990171,58.406494,41.23799,53.255943
1643578990425,58.50487,41.22,53.319412
1643578990681,58.60393,41.205837,53.384502
1643578990937,58.6941,41.177876,53.43923
1643578991191,59.000935,41.385433,53.716286
1643578991447,59.309803,41.59239,53.99458
1643578991701,59.643253,41.757435,54.27751
1643578991952,59.98451,41.932007,54.568756
1643578992204,60.307354,42.10682,54.847195
1643578992458,60.631218,42.28484,55.127304
1643578992713,60.96888,42.482246,55.42289
1643578992947,61.37559,42.70148,55.773357
1643578993187,61.78247,42.922897,56.1246
1643578993433,62.34415,43.449066,56.675625
1643578993688,62.905373,43.97723,57.22693
1643578993933,63.421383,44.500484,57.745113
1643578994177,63.93255,45.021225,58.25915
1643578994428,64.4506,45.559715,58.783333
1643578994688,64.915596,46.059692,59.258827
1643578994938,65.39489,46.579678,59.750324
1643578995177,65.90058,47.219704,60.296318
1643578995427,66.40311,47.857105,60.839306
1643578995682,66.80271,48.36569,61.271606
1643578995931,67.19532,48.86814,61.697166
1643578996168,67.56451,49.356274,62.102036
1643578996423,67.877396,49.74274,62.436996
1643578996685,68.162,50.122974,62.750294
1643578996932,68.38975,50.416374,62.997734
1643578997169,68.606094,50.697216,63.23343
1643578997415,68.76505,50.95959,63.423416
1643578997669,68.92273,51.220127,63.61195
1643578997925,69.06289,51.407536,63.76628
1643578998177,69.19482,51.585766,63.9121
1643578998424,69.319435,51.755768,64.05034
1643578998685,69.4331,51.934837,64.183624
1643578998942,69.541855,52.10856,64.31187
1643578999184,69.6971,52.36801,64.498375
1643578999431,69.79021,52.52146,64.60959
1643578999686,69.96601,52.76796,64.806595
1643578999935,70.15501,53.049004,65.02321
1643579000179,70.338326,53.263348,65.215836
1643579000429,70.54922,53.523056,65.44137
1643579000682,70.75525,53.777138,65.66182
1643579000930,70.96654,54.07217,65.898224
1643579001150,71.091225,54.254036,66.04007
1643579001402,71.37016,54.52519,66.31667
1643579001656,71.576805,54.75222,66.529434
1643579001910,71.74543,54.96699,66.7119
1643579002149,71.95409,55.206127,66.929695
1643579002404,72.20806,55.472668,67.18745
1643579002651,72.33617,55.80036,67.37543
1643579002905,72.50621,56.15128,67.59973
1643579003146,72.70499,56.53212,67.85313
1643579003377,72.80182,56.876217,68.02414
1643579003633,72.940285,57.251534,68.23366
1643579003888,73.059975,57.607407,68.42421
1643579004137,73.17457,57.957405,68.60942
1643579004383,73.33243,58.21468,68.797104
1643579004638,73.48801,58.470837,68.98286
1643579004893,73.650055,58.709152,69.167786
1643579005126,73.806175,58.937458,69.34556
1643579005376,73.91308,59.195496,69.4978
1643579005632,74.018425,59.45297,69.64879
1643579005887,74.1204,59.70568,69.79598
1643579006131,74.25297,59.991333,69.97448
1643579006381,74.382286,60.27228,70.149284
1643579006629,74.45055,60.489475,70.26222
1643579006884,74.515015,60.700077,70.37054
1643579007123,74.48689,60.84755,70.39509
1643579007370,74.45556,60.98927,70.41567
1643579007625,74.36578,60.932503,70.3358
1643579007879,74.26729,60.867638,70.24739
1643579008120,74.16567,60.793983,70.15417
1643579008365,74.04128,60.695515,70.03755
1643579008620,73.91436,60.59229,69.91774
1643579008875,73.83158,60.50421,69.833374
1643579009111,73.74763,60.409607,69.746216
1643579009355,73.60011,60.297504,69.60933
1643579009610,73.45014,60.18125,69.469475
1643579009864,73.29877,60.060604,69.32732
1643579010097,73.07972,59.90691,69.12788
1643579010350,72.857834,59.74896,68.92517
1643579010604,72.60784,59.55674,68.69251
1643579010858,72.35823,59.362907,68.45963
1643579011092,72.12035,59.14379,68.22739
1643579011329,71.85523,58.89386,67.96682
1643579011580,71.624084,58.58378,67.71199
1643579011840,71.38801,58.276978,67.4547
1643579012074,71.161644,57.977303,67.206345
1643579012309,71.00292,57.750767,67.027275
1643579012555,70.845604,57.52425,66.8492
1643579012809,70.70069,57.31626,66.68536
1643579013052,70.55064,57.108845,66.5181
1643579013276,70.44049,56.99578,66.407074
1643579013539,70.30538,56.8359,66.26454
1643579013801,70.173615,56.67871,66.125145
1643579014041,70.08695,56.548843,66.02552
1643579014264,70.00819,56.427807,65.934074
1643579014515,69.994385,56.334213,65.89633
1643579014770,69.990486,56.2484,65.86786
1643579015010,69.989136,56.19378,65.850525
1643579015253,69.98751,56.12754,65.82952
1643579015507,69.98672,56.061775,65.809235
1643579015754,69.97861,56.0621,65.80365
1643579015991,69.974106,56.067287,65.80206
1643579016231,69.864525,56.12806,65.74358
1643579016478,69.7642,56.204315,65.696236
1643579016735,69.5708,56.20039,65.55968
1643579016981,69.386826,56.210102,65.43381
1643579017216,69.2064,56.223045,65.31139
1643579017463,68.96713,56.188072,65.133415
1643579017718,68.72876,56.15416,64.956375
1643579017954,68.45203,56.15408,64.76264
1643579018208,68.17485,56.153572,64.56847
1643579018463,67.89911,56.15389,64.37554
1643579018723,67.612045,56.17629,64.18132
1643579018959,67.32988,56.20099,63.991215
1643579019197,66.961525,56.202934,63.733948
1643579019442,66.59454,56.205593,63.47786
1643579019697,66.38072,55.926407,63.244427
1643579019935,66.17223,55.649506,63.01542
1643579020175,65.99183,55.38433,62.809578
1643579020419,65.75568,55.039707,62.540886
1643579020673,65.522285,54.69658,62.274574
1643579020926,65.30454,54.389233,62.029953
1643579021167,65.073586,54.071465,61.77295
1643579021416,64.88235,53.78641,61.553566
1643579021671,64.69353,53.502926,61.33635
1643579021923,64.503654,53.217335,61.11776
1643579022154,64.35727,53.037407,60.96131
1643579022401,64.24468,52.88056,60.835445
1643579022658,64.08759,52.54827,60.625793
1643579022913,63.96905,52.243793,60.451473
1643579023139,63.964485,51.92295,60.352024
1643579023387,63.896736,51.50316,60.17866
1643579023642,63.863342,51.133904,60.04451
1643579023903,63.899296,50.728043,59.94792
1643579024143,63.94058,50.329453,59.85724
1643579024373,64.13633,50.461063,60.033752
1643579024627,64.294395,50.546688,60.170082
1643579024882,64.305336,50.400505,60.133884
1643579025121,64.31877,50.262856,60.101997
1643579025367,64.35649,50.20325,60.11052
1643579025629,64.40198,50.140224,60.12345
1643579025888,64.41821,50.03467,60.10315
1643579026131,64.50777,49.99348,60.15348
1643579026378,64.599525,49.956074,60.20649
1643579026632,64.66878,49.731842,60.187695
1643579026888,64.73972,49.510544,60.17097
1643579027129,64.6224,49.1653,59.985268
1643579027377,64.50596,48.822422,59.8009
1643579027633,64.39785,48.506832,59.630547
1643579027893,64.22185,48.19869,59.414898
1643579028131,64.04619,47.896393,59.201252
1643579028379,63.77224,47.597157,58.919716
1643579028634,63.49852,47.299133,58.638702
1643579028888,63.136223,47.05347,58.311398
1643579029124,62.776062,46.814342,57.987545
1643579029374,62.467213,46.551434,57.69248
1643579029631,62.158188,46.28866,57.397327
1643579029888,61.850395,46.029415,57.104103
1643579030128,61.631348,45.810097,56.88497
1643579030374,61.412968,45.592754,56.666904
1643579030628,61.228256,45.383743,56.474903
1643579030881,61.044678,45.177753,56.2846
1643579031109,60.81038,45.142307,56.10996
1643579031364,60.57384,45.10415,55.932934
1643579031619,60.333702,45.076298,55.756477
1643579031880,60.09825,45.1502,55.613834
1643579032133,59.867138,45.22923,55.47577
1643579032381,59.675777,45.27534,55.355648
1643579032636,59.487408,45.324764,55.238617
1643579032890,59.3675,45.505947,55.209038
1643579033129,59.25343,45.69196,55.18499
1643579033376,59.214127,45.956512,55.23684
1643579033631,59.17666,46.223476,55.290703
1643579033886,59.14232,46.49344,55.347656
1643579034108,59.39305,46.778797,55.608772
1643579034357,59.642944,47.065594,55.86974
1643579034612,59.923103,47.232643,56.115963
1643579034867,60.206654,47.401897,56.365227
1643579035105,60.49996,47.55373,56.616093
1643579035353,60.79549,47.707573,56.869114
1643579035608,61.09339,47.863644,57.124466
1643579035868,61.37189,47.97832,57.35382
1643579036089,61.649548,48.09011,57.581715
1643579036328,61.935547,48.19265,57.812675
1643579036574,62.222363,48.297367,58.044865
1643579036829,62.52183,48.35062,58.27047
1643579037054,62.81622,48.399693,58.49126
1643579037299,63.11159,48.45144,58.713543
1643579037546,63.344307,48.47924,58.88479
1643579037802,63.57668,48.507996,59.056072
1643579038036,63.814465,48.481865,59.214684
1643579038262,64.04744,48.453636,59.369297
1643579038521,64.31394,48.441196,59.55212
1643579038778,64.58134,48.42612,59.73477
1643579039019,64.842415,48.408257,59.912167
1643579039238,65.08006,48.37676,60.06907
1643579039489,65.32191,48.35003,60.230343
1643579039743,65.49257,48.31931,60.34059
1643579039972,65.655205,48.28325,60.443615
1643579040210,65.81734,48.24639,60.546055
1643579040437,65.937355,48.289257,60.642925
1643579040691,66.061844,48.333145,60.743233
1643579040937,66.184875,48.412613,60.853195
1643579041171,66.30006,48.48774,60.95636
1643579041425,66.39942,48.56682,61.04964
1643579041681,66.49622,48.64395,61.14054
1643579041930,66.58902,48.71857,61.227882
1643579042175,66.75665,48.85278,61.38549
1643579042422,66.92342,48.986347,61.5423
1643579042677,67.017365,49.192955,61.670044
1643579042927,67.1082,49.397247,61.794914
1643579043168,67.16112,49.568123,61.88322
1643579043415,67.21263,49.736652,61.969837
1643579043671,67.26356,49.903393,62.055508
1643579043933,67.274574,50.101376,62.122616
1643579044184,67.280945,50.294743,62.185085
1643579044426,67.22479,50.44323,62.190323
1643579044681,67.16854,50.5924,62.195698
1643579044931,67.20421,50.906757,62.314972
1643579045162,67.2344,51.215725,62.4288
1643579045411,67.21181,51.554394,62.514584
1643579045667,67.1882,51.89275,62.599567
1643579045921,67.16271,52.22956,62.682766
1643579046147,67.121925,52.54152,62.747803
1643579046392,67.082,52.855125,62.81394
1643579046646,67.05429,53.1238,62.875145
1643579046900,67.02494,53.388863,62.934116
1643579047137,67.11802,53.55589,63.049377
1643579047384,67.20908,53.720085,63.162384
1643579047639,67.2981,53.881443,63.27311
1643579047901,67.38462,53.99022,63.366302
1643579048152,67.467415,54.092426,63.454918
1643579048396,67.51974,54.30131,63.55421
1643579048651,67.56912,54.50764,63.65068
1643579048905,67.75594,54.7828,63.864002
1643579049136,67.93785,55.048416,64.07102
1643579049396,68.11159,55.319897,64.27408
1643579049650,68.28313,55.47923,64.441956
1643579049904,68.45136,55.63372,64.60607
1643579050143,68.44395,55.61573,64.59548
1643579050391,68.43407,55.59462,64.58223
1643579050647,68.395226,55.616444,64.56159
1643579050903,68.354095,55.634457,64.53821
1643579051147,68.31827,55.626163,64.510635
1643579051395,68.30354,55.61482,64.496925
1643579051647,68.28657,55.6019,64.48117
1643579051901,68.25621,55.579628,64.45323
1643579052127,68.225685,55.553173,64.423935
1643579052374,68.149216,55.51444,64.35878
1643579052629,68.11,55.488667,64.3236
1643579052885,68.069565,55.46121,64.287056
1643579053133,68.045815,55.453865,64.26823
1643579053384,68.04031,55.43032,64.25732
1643579053632,67.8385,55.242344,64.059654
1643579053878,67.6563,55.03839,63.870934
1643579054097,67.33857,54.723125,63.553936
1643579054341,66.98282,54.407024,63.210083
1643579054597,66.62762,54.091064,62.866653
1643579054860,66.2979,53.89759,62.577805
